Frontend file,Line,Usage,Endpoint,Convex export exists,Mock behavior,Unsafe cast,Decision,Status,Notes
src/pages/client/ClientCasesPage.tsx,23,useQuery,hearings.listHearings,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientChecklistPage.tsx,17,useQuery,clients.getMyClientRecord,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientChecklistPage.tsx,20,useQuery,cases.listCases,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientChecklistPage.tsx,23,useQuery,tasks.listTasks,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientDashboard.tsx,20,useQuery,clients.getMyClientRecord,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientDashboard.tsx,24,useQuery,cases.listCases,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientDashboard.tsx,28,useQuery,invoices.listInvoices,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientDashboard.tsx,31,useQuery,hearings.listHearings,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientDashboard.tsx,32,useQuery,users.listStaffDirectory,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientDashboard.tsx,33,useQuery,documents.listDocuments,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientDashboard.tsx,50,useQuery,messages.listMessages,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientDocumentsPage.tsx,22,useQuery,documents.getFileUrl,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientDocumentsPage.tsx,39,useQuery,clients.getMyClientRecord,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientDocumentsPage.tsx,41,useQuery,cases.listCases,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientDocumentsPage.tsx,42,useQuery,documents.listDocuments,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientDocumentsPage.tsx,44,useMutation,documents.generateUploadUrl,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientDocumentsPage.tsx,45,useMutation,documents.createDocument,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientKYCOnboarding.tsx,74,useQuery,clients.getMyClientRecord,yes,heuristic match,no,migrate,inventoried,
